id	sex	length_R	length_L
66	m	126	130
69	m	158	159
71	m	153	151
72	m	145	147
75	m	160	157
85	m	160	157
86	m	155	155
90	m	140	140
91	m	153	157
92	m	143	143
94	m	160	165
95	m	135	140
97	m	167	167
99	m	149	156
100	m	140	145
101	m	144	151
102	m	160	158
103	m	149	156
114	m	156	149
115	m	145	140
117	m	168	172
118	m	154	153
119	m	161	156
120	m	146	154
121	m	142	150
122	m	145	149
125	m	143	145
127	m	160	161
129	m	143	149
130	m	157	158
131	m	139	140
132	m	151	154
133	m	148	147
134	m	132	140
135	m	138	147
152	m	157	159
155	m	157	156
160	m	175	176
161	m	144	146
163	m	134	142
164	m	167	172
165	m	161	160
166	m	142	144
167	m	167	173
168	m	148	148
169	m	156	158
170	m	161	158
171	m	156	155
172	m	173	171
173	m	164	164
10	f	147	141
73	f	143	142
79	f	144	149
81	f	135	134
87	f	146	145
96	f	155	155
98	f	130	133
104	f	132	127
106	f	131	138
107	f	138	134
108	f	135	139
109	f	143	149
110	f	126	128
111	f	128	136
112	f	132	132
113	f	140	139
123	f	131	135
124	f	144	142
126	f	135	138
128	f	129	133
136	f	148	148
137	f	133	136
138	f	129	128
139	f	139	140
140	f	137	137
141	f	138	136
142	f	129	131
143	f	135	134
144	f	139	141
145	f	129	128
146	f	138	139
147	f	133	140
148	f	126	130
150	f	133	130
151	f	154	154
153	f	140	142
154	f	129	129
156	f	136	134
158	f	164	162
159	f	131	135
162	f	142	137
174	f	135	135
175	f	160	162
176	f	132	134
177	f	124	121
179	f	148	146
180	f	145	149
181	f	137	141
182	f	138	141
183	f	139	138
